# Server version 0.08 running on www.smart-browser.com:8123
# Game ID: 104
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Thu Apr 10 03:29:22 EDT 2014
# Player 1: Player-0, 'Human', running on www.smart-browser.com
# Player 2: Player-1, '110121860', running on www.smart-browser.com
# Player 3: Player-2, '110121860', running on www.smart-browser.com
# Player 4: Player-3, '110121860', running on www.smart-browser.com
START Player-0 Human
START Player-1 110121860
START Player-2 110121860
START Player-3 110121860
0 (1,1) (2,1)
1 (13,3) (14,3)
2 (2,12) (1,12)
3 (3,1) (1,1)
3 null null
0 (2,1) (2,3)
0 (2,3) (4,3)
0 (4,3) (4,5)
0 (4,5) (6,5)
0 (6,5) (6,7)
0 (6,7) (8,7)
0 (8,7) (8,9)
0 null null
1 (14,3) (13,3)
2 (1,12) (2,12)
3 (10,9) (9,8)
0 (13,14) (14,15)
1 (13,3) (14,3)
2 (2,12) (1,12)
3 (9,8) (8,7)
0 (11,12) (13,14)
0 null null
1 (14,3) (13,3)
2 (1,12) (2,12)
3 (12,13) (11,12)
0 (12,11) (13,12)
1 (13,3) (14,3)
2 (2,12) (1,12)
3 (11,12) (9,10)
3 (9,10) (7,8)
3 (7,8) (7,6)
3 (7,6) (5,6)
3 (5,6) (5,4)
3 (5,4) (3,4)
3 (3,4) (3,2)
3 (3,2) (1,2)
3 null null
0 (8,9) (10,9)
0 null null
1 (14,3) (13,3)
2 (1,12) (2,12)
3 (14,13) (12,11)
3 null null
0 (10,11) (11,12)
1 (13,3) (14,3)
2 (2,12) (1,12)
3 (8,7) (7,6)
0 (13,12) (14,13)
1 (14,3) (13,3)
2 (1,12) (2,12)
3 (15,12) (14,11)
0 (11,12) (13,12)
0 (13,12) (15,14)
0 null null
1 (13,3) (14,3)
2 (2,12) (1,12)
3 (14,11) (13,10)
0 (2,2) (2,3)
1 (14,3) (13,3)
2 (1,12) (2,12)
3 (13,10) (11,10)
3 (11,10) (9,8)
3 (9,8) (7,8)
3 null null
0 (10,9) (11,10)
1 (13,3) (14,3)
2 (2,12) (1,12)
3 (12,11) (10,9)
3 (10,9) (8,9)
3 (8,9) (6,7)
3 (6,7) (6,5)
3 (6,5) (4,5)
3 (4,5) (4,3)
3 null null
0 (11,10) (11,12)
0 (11,12) (13,12)
0 null null
1 (14,3) (13,3)
2 (1,12) (2,12)
3 (7,6) (6,5)
0 (12,10) (13,11)
1 (13,3) (14,3)
2 (2,12) (1,12)
3 (6,5) (5,4)
0 (14,15) (15,15)
1 (14,3) (13,3)
2 (1,12) (2,12)
3 (5,4) (3,2)
3 null null
0 (13,12) (13,13)
1 (13,3) (14,3)
2 (2,12) (1,12)
3 (4,3) (2,1)
3 null null
0 (13,13) (15,13)
0 null null
1 (14,3) (13,3)
2 (1,12) (2,12)
3 (3,2) (2,2)
0 (2,3) (4,3)
0 (4,3) (4,5)
0 (4,5) (6,5)
0 (6,5) (6,7)
0 (6,7) (8,7)
0 (8,7) (8,9)
0 (8,9) (10,9)
0 (10,9) (10,11)
0 (10,11) (12,11)
0 (12,11) (14,11)
0 null null
1 (13,3) (14,3)
2 (2,12) (1,12)
3 (7,8) (7,6)
3 (7,6) (5,6)
3 (5,6) (5,4)
3 (5,4) (3,4)
3 (3,4) (3,2)
3 null null
0 (13,11) (15,11)
0 null null
1 (14,3) (13,3)
2 (1,12) (2,12)
3 (3,2) (3,1)
0 (15,11) (15,12)
1 (13,3) (14,3)
2 (2,12) (1,12)
3 (3,1) (2,0)
0 (3,3) (3,4)
1 (14,3) (13,3)
2 (1,12) (2,12)
3 (2,2) (0,2)
3 null null
0 (3,4) (5,4)
0 (5,4) (5,6)
0 (5,6) (7,6)
0 (7,6) (7,8)
0 (7,8) (9,8)
0 (9,8) (9,10)
0 (9,10) (11,10)
0 (11,10) (11,12)
0 (11,12) (13,12)
0 null null
1 (13,3) (14,3)
2 (2,12) (1,12)
3 (1,2) (2,2)
0 (13,12) (13,13)
1 (14,3) (13,3)
2 (1,12) (2,12)
3 (2,2) (1,2)
0 (13,14) (14,15)
1 (13,3) (14,3)
2 (2,12) (1,12)
3 (1,2) (2,2)
0 (14,11) (14,12)
1 (14,3) (13,3)
2 (1,12) (2,12)
3 (2,2) (1,2)
0 (4,4) (4,5)
1 (13,3) (14,3)
2 (2,12) (1,12)
3 (6,6) (4,4)
3 null null
0 (4,5) (6,5)
0 null null
1 (14,3) (13,3)
2 (1,12) (2,12)
3 (7,7) (6,6)
0 (5,5) (7,7)
0 null null
1 (13,3) (14,3)
2 (2,12) (1,12)
3 (6,6) (5,5)
0 (6,5) (6,6)
1 (14,3) (13,3)
2 (1,12) (2,12)
3 (5,5) (3,3)
3 null null
0 (6,6) (7,6)
1 (13,3) (14,3)
2 (2,12) (1,12)
3 (4,4) (2,2)
3 null null
0 (7,6) (7,8)
0 (7,8) (9,8)
0 (9,8) (9,10)
0 (9,10) (11,10)
0 (11,10) (11,12)
0 (11,12) (13,12)
0 (13,12) (13,14)
0 null null
1 (14,3) (13,3)
2 (1,12) (2,12)
3 (10,10) (10,9)
0 (7,7) (7,8)
1 (13,3) (14,3)
2 (2,12) (1,12)
3 (12,12) (10,10)
3 null null
0 (7,8) (9,8)
0 (9,8) (9,10)
0 (9,10) (11,10)
0 (11,10) (11,12)
0 null null
1 (14,3) (13,3)
2 (1,12) (2,12)
3 (10,9) (9,8)
0 (11,12) (12,12)
1 (13,3) (14,3)
2 (2,12) (1,12)
3 (9,8) (8,7)
0 (13,14) (14,14)
1 (14,3) (13,3)
2 (1,12) (2,12)
3 (8,7) (7,6)
0 (8,8) (8,9)
1 (13,3) (14,3)
2 (2,12) (1,12)
3 (10,10) (8,8)
3 null null
0 (8,9) (10,9)
0 null null
1 (14,3) (13,3)
2 (1,12) (2,12)
3 (8,8) (7,7)
0 (10,9) (10,10)
1 (13,3) (14,3)
2 (2,12) (1,12)
3 (7,7) (6,6)
0 (9,9) (9,10)
1 (14,3) (13,3)
2 (1,12) (2,12)
3 (11,11) (9,9)
3 null null
0 (9,10) (11,10)
0 null null
1 (13,3) (14,3)
2 (2,12) (1,12)
3 (6,6) (5,5)
0 (11,10) (11,11)
1 (14,3) (13,3)
2 (1,12) (2,12)
3 (5,5) (4,4)
0 (10,10) (10,11)
1 (13,3) (14,3)
2 (2,12) (1,12)
3 (9,9) (8,8)
0 (10,11) (12,11)
0 (12,11) (12,13)
0 null null
1 (14,3) (13,3)
2 (1,12) (2,12)
3 (8,8) (7,7)
0 (11,11) (11,12)
1 (13,3) (14,3)
2 (2,12) (1,12)
3 (7,7) (6,6)
0 (11,12) (13,12)
0 (13,12) (13,14)
0 null null
1 (14,3) (13,3)
2 (1,12) (2,12)
3 (6,6) (5,5)
