# Server version 0.08 running on www.smart-browser.com:8123
# Game ID: 20
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Tue Apr 08 19:31:39 EDT 2014
# Player 1: Player-0, '110121860', running on www.smart-browser.com
# Player 2: Player-1, '110121860', running on www.smart-browser.com
# Player 3: Player-2, '110121860', running on www.smart-browser.com
# Player 4: Player-3, '110121860', running on www.smart-browser.com
START Player-0 110121860
START Player-1 110121860
START Player-2 110121860
START Player-3 110121860
0 (3,1) (4,1)
1 (14,1) (12,3)
1 null null
2 (3,15) (3,13)
2 null null
3 (13,15) (11,15)
3 null null
0 (0,1) (2,3)
0 null null
1 (14,2) (14,1)
2 (2,13) (0,11)
2 null null
3 (14,15) (13,15)
0 (0,3) (0,4)
1 (14,0) (14,2)
1 null null
2 (0,13) (2,11)
2 null null
3 (14,12) (13,11)
0 (2,1) (3,1)
1 (14,2) (13,3)
2 (2,11) (2,10)
3 (14,13) (13,12)
0 (4,1) (2,1)
0 (2,1) (0,1)
0 null null
1 (12,3) (11,2)
2 (1,14) (2,13)
3 (13,12) (14,12)
0 (2,3) (1,4)
1 (13,1) (14,0)
2 (1,13) (0,13)
3 (12,14) (11,14)
0 (3,0) (2,1)
1 (14,3) (12,3)
1 null null
2 (2,13) (3,12)
3 (12,15) (14,13)
3 (14,13) (14,11)
3 null null
0 (1,4) (2,3)
1 (15,1) (13,1)
1 null null
2 (3,13) (2,13)
3 (11,14) (10,14)
0 (2,3) (2,4)
1 (11,2) (12,2)
2 (3,14) (1,14)
2 null null
3 (15,12) (14,13)
0 (1,2) (1,4)
0 (1,4) (3,4)
0 null null
1 (15,2) (15,1)
2 (2,14) (1,13)
3 (14,13) (13,12)
0 (1,1) (3,3)
0 (3,3) (1,5)
0 null null
1 (15,3) (14,4)
2 (2,13) (2,14)
3 (13,11) (14,10)
0 (1,5) (0,6)
1 (12,3) (13,4)
2 (2,14) (3,13)
3 (14,12) (12,14)
3 null null
0 (2,2) (3,3)
1 (12,2) (11,2)
2 (2,10) (1,11)
3 (14,10) (14,9)
0 (0,1) (1,2)
1 (12,1) (11,0)
2 (0,13) (2,13)
2 (2,13) (4,13)
2 null null
3 (10,14) (9,15)
0 (3,3) (4,2)
1 (13,4) (14,3)
2 (3,13) (2,14)
3 (15,13) (15,12)
0 (2,1) (1,1)
1 (13,2) (14,2)
2 (1,12) (2,12)
3 (12,14) (11,13)
0 (1,1) (2,1)
1 (13,0) (15,2)
1 (15,2) (13,2)
1 (13,2) (15,4)
1 null null
2 (1,13) (0,13)
3 (11,13) (11,14)
0 (3,1) (4,0)
1 (15,4) (14,5)
2 (2,12) (3,13)
3 (11,15) (10,14)
0 (0,4) (1,4)
1 (11,2) (11,1)
2 (0,12) (0,10)
2 null null
3 (15,12) (15,13)
0 (2,1) (2,2)
1 (14,3) (13,4)
2 (1,14) (1,13)
3 (15,13) (15,12)
0 (2,0) (2,1)
1 (14,4) (14,3)
2 (4,13) (2,13)
2 (2,13) (4,11)
2 null null
3 (13,15) (14,15)
0 (3,4) (4,5)
1 (12,0) (10,0)
1 (10,0) (12,2)
1 null null
2 (0,11) (0,9)
2 null null
3 (14,11) (13,10)
0 (2,4) (3,3)
1 (12,2) (10,0)
1 null null
2 (1,13) (1,12)
3 (14,9) (12,11)
3 (12,11) (14,13)
3 (14,13) (12,15)
3 (12,15) (10,13)
3 null null
0 (1,3) (0,4)
1 (15,1) (15,2)
2 (1,12) (2,13)
3 (10,13) (9,14)
0 (2,2) (1,1)
1 (14,1) (15,1)
2 (0,9) (0,11)
2 null null
3 (13,14) (12,13)
0 (4,0) (4,1)
1 (11,0) (10,1)
2 (3,12) (4,12)
3 (11,14) (12,15)
0 (4,1) (5,1)
1 (10,1) (9,1)
2 (0,10) (1,10)
3 (13,12) (14,13)
0 (5,1) (6,2)
1 (13,4) (12,4)
2 (3,13) (4,13)
3 (14,13) (13,14)
0 (0,6) (1,6)
1 (13,3) (11,5)
1 null null
2 (4,11) (3,11)
3 (13,13) (13,12)
0 (4,5) (5,5)
1 (14,3) (14,1)
1 (14,1) (12,1)
1 null null
2 (2,14) (1,13)
3 (12,13) (11,12)
0 (0,2) (2,2)
0 null null
1 (14,5) (14,4)
2 (4,13) (3,13)
3 (13,10) (12,10)
0 (6,2) (7,1)
1 (14,2) (12,0)
1 (12,0) (10,2)
1 null null
2 (0,11) (0,10)
3 (15,15) (13,13)
3 (13,13) (13,11)
3 null null
0 (1,4) (0,3)
1 (14,0) (14,1)
2 (1,11) (0,11)
3 (13,12) (12,12)
0 (3,3) (3,2)
1 (14,1) (14,0)
2 (3,11) (2,12)
3 (14,14) (13,15)
0 (1,1) (1,3)
0 null null
1 (9,1) (8,2)
2 (1,13) (1,12)
3 (12,15) (11,15)
0 (0,0) (0,1)
1 (13,1) (14,1)
2 (1,15) (1,14)
3 (10,14) (10,13)
0 (5,5) (5,4)
1 (12,1) (12,2)
2 (1,12) (3,14)
2 null null
3 (11,15) (12,14)
0 (1,6) (2,7)
1 (11,5) (12,6)
2 (0,14) (2,14)
2 (2,14) (4,14)
2 null null
3 (13,11) (11,13)
3 null null
0 (1,3) (2,3)
1 (11,1) (13,3)
1 null null
2 (3,14) (5,14)
2 null null
3 (15,12) (14,13)
0 (7,1) (9,3)
0 (9,3) (11,1)
0 null null
1 (13,3) (12,3)
2 (3,13) (5,11)
2 null null
3 (12,10) (11,11)
0 (2,2) (1,3)
1 (12,6) (13,6)
2 (5,11) (6,11)
3 (9,15) (9,13)
3 null null
0 (11,1) (11,0)
1 (8,2) (7,1)
2 (4,14) (3,15)
3 (11,11) (11,10)
0 (5,4) (5,3)
1 (12,3) (12,5)
1 (12,5) (14,7)
1 null null
2 (2,13) (3,13)
3 (11,13) (11,14)
0 (0,1) (0,2)
1 (15,2) (14,2)
2 (3,13) (2,14)
3 (9,14) (10,15)
0 (0,2) (0,1)
1 (14,4) (15,4)
2 (0,10) (1,11)
3 (12,14) (12,15)
0 (4,2) (5,1)
1 (14,2) (15,2)
2 (2,12) (1,12)
3 (9,13) (9,12)
0 (1,2) (3,4)
0 null null
1 (14,0) (13,1)
2 (4,12) (4,13)
3 (11,10) (10,11)
0 (0,1) (1,1)
1 (7,1) (7,2)
2 (0,15) (2,13)
2 null null
3 (12,15) (12,14)
0 (2,7) (1,6)
1 (15,1) (14,0)
2 (1,11) (1,13)
2 (1,13) (3,13)
2 (3,13) (1,15)
2 null null
3 (13,14) (12,13)
0 (2,3) (2,4)
1 (15,0) (13,2)
1 null null
2 (1,14) (1,13)
3 (14,15) (14,14)
0 (3,2) (3,3)
1 (12,4) (12,5)
2 (0,13) (2,11)
2 (2,11) (0,9)
2 null null
3 (11,12) (13,14)
3 null null
0 (2,4) (2,5)
1 (12,2) (11,3)
2 (0,9) (0,8)
3 (13,14) (12,15)
0 (1,6) (2,6)
1 (15,2) (14,2)
2 (6,11) (7,10)
3 (10,15) (10,14)
0 (2,1) (3,1)
1 (13,2) (13,0)
1 (13,0) (15,0)
1 null null
2 (1,10) (1,11)
3 (9,12) (8,11)
0 (1,0) (2,0)
1 (12,5) (12,6)
2 (3,15) (4,14)
3 (8,11) (8,10)
0 (3,4) (2,4)
1 (10,2) (9,1)
2 (1,12) (1,14)
2 (1,14) (3,12)
2 null null
3 (14,13) (15,13)
0 (5,1) (6,2)
1 (10,0) (10,1)
2 (2,13) (4,11)
2 null null
3 (11,14) (11,13)
0 (2,0) (3,0)
1 (14,1) (12,1)
1 null null
2 (4,13) (5,13)
3 (12,15) (11,15)
0 (5,3) (6,4)
1 (9,1) (8,0)
2 (3,12) (2,12)
3 (12,12) (13,13)
0 (2,5) (3,6)
1 (14,2) (15,2)
2 (4,11) (5,12)
