# Server version 0.08 running on wpa147092.wireless.mcgill.ca:8123
# Game ID: 79
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Wed Apr 09 20:24:34 EDT 2014
# Player 1: Player-0, '110121860', running on www.smart-browser.com
# Player 2: Player-1, 'random', running on wpa147092.wireless.mcgill.ca
# Player 3: Player-2, 'random', running on wpa147092.wireless.mcgill.ca
# Player 4: Player-3, 'random', running on wpa147092.wireless.mcgill.ca
START Player-0 110121860
START Player-1 random
START Player-2 random
START Player-3 random
0 (2,2) (4,0)
0 null null
1 (13,1) (13,3)
1 null null
2 (3,14) (3,13)
3 (12,15) (11,14)
0 (0,0) (2,2)
0 null null
1 (13,2) (12,3)
2 (2,13) (2,12)
3 (13,15) (11,13)
3 null null
0 (2,2) (0,4)
0 null null
1 (12,3) (11,2)
2 (0,13) (2,11)
2 null null
3 (12,14) (13,15)
0 (1,2) (1,4)
0 null null
1 (15,3) (13,1)
1 null null
2 (2,11) (3,11)
3 (11,13) (10,13)
0 (0,3) (2,5)
0 null null
1 (11,2) (12,3)
2 (3,13) (3,14)
3 (15,12) (14,11)
0 (0,1) (0,3)
0 null null
1 (13,1) (12,2)
2 (1,13) (1,11)
2 null null
3 (13,13) (15,11)
3 (15,11) (13,11)
3 null null
0 (0,3) (0,5)
0 null null
1 (14,3) (15,4)
2 (2,12) (0,10)
2 null null
3 (13,11) (12,12)
0 (0,4) (0,6)
0 null null
1 (15,4) (15,3)
2 (3,11) (3,10)
3 (10,13) (11,12)
0 (0,5) (0,7)
0 null null
1 (12,1) (11,0)
2 (3,14) (3,13)
3 (14,11) (13,11)
0 (3,0) (5,0)
0 null null
1 (15,2) (15,4)
1 null null
2 (3,13) (2,13)
3 (11,14) (12,13)
0 (1,4) (3,6)
0 null null
1 (15,3) (14,4)
2 (1,12) (2,12)
3 (14,15) (12,15)
3 null null
0 (0,6) (0,8)
0 null null
1 (14,1) (15,2)
2 (3,15) (4,14)
3 (13,15) (13,13)
3 (13,13) (15,11)
3 null null
0 (0,7) (0,9)
0 null null
1 (11,0) (10,1)
2 (2,13) (3,13)
3 (13,14) (14,15)
0 (2,0) (4,2)
0 null null
1 (14,2) (13,2)
2 (2,15) (0,13)
2 (0,13) (0,11)
2 null null
3 (12,12) (12,11)
0 (1,0) (3,2)
0 null null
1 (13,2) (11,4)
1 null null
2 (3,10) (3,9)
3 (15,11) (14,10)
0 (3,2) (5,2)
0 null null
1 (13,3) (15,5)
1 null null
2 (2,14) (4,12)
2 null null
3 (14,15) (13,15)
0 (4,2) (6,2)
0 null null
1 (12,0) (12,1)
2 (4,12) (5,13)
3 (12,13) (12,14)
0 (5,2) (7,2)
0 null null
1 (12,2) (13,1)
2 (1,15) (2,15)
3 (12,14) (13,13)
0 (6,2) (8,2)
0 null null
1 (14,4) (13,3)
2 (3,9) (4,9)
3 (14,10) (12,12)
3 (12,12) (10,12)
3 null null
0 (7,2) (9,2)
0 null null
1 (14,0) (12,2)
1 null null
2 (0,11) (1,10)
3 (13,13) (13,14)
0 (9,2) (11,0)
0 null null
1 (13,0) (11,2)
1 (11,2) (13,4)
1 null null
2 (0,14) (0,13)
3 (13,11) (13,12)
0 (11,0) (13,2)
0 null null
1 (13,1) (12,0)
2 (0,13) (1,13)
3 (13,12) (15,12)
3 null null
0 (2,1) (4,1)
0 null null
1 (11,4) (10,4)
2 (4,9) (5,8)
3 (13,14) (14,15)
0 (2,5) (4,7)
0 null null
1 (15,1) (14,0)
2 (2,12) (3,11)
3 (14,12) (13,11)
0 (0,2) (2,4)
0 null null
1 (12,3) (11,2)
2 (1,11) (0,11)
3 (15,13) (15,11)
3 null null
0 (3,1) (5,1)
0 null null
1 (15,4) (14,4)
2 (1,10) (1,9)
3 (10,12) (9,11)
0 (4,1) (6,1)
0 null null
1 (11,2) (13,0)
1 (13,0) (11,0)
1 (11,0) (9,2)
1 (9,2) (7,2)
1 null null
2 (0,12) (1,12)
3 (12,11) (12,12)
0 (5,1) (7,1)
0 null null
1 (12,0) (13,1)
2 (4,14) (5,15)
3 (12,12) (11,13)
0 (7,1) (9,3)
0 null null
1 (10,4) (10,5)
2 (1,14) (2,13)
3 (13,15) (15,13)
3 null null
0 (8,2) (10,4)
0 null null
1 (13,3) (11,1)
1 (11,1) (9,1)
1 null null
2 (1,12) (2,12)
3 (11,12) (10,11)
0 (6,1) (8,3)
0 null null
1 (10,5) (11,4)
2 (3,13) (4,13)
3 (14,14) (13,15)
0 (10,4) (12,4)
0 null null
1 (15,2) (15,3)
2 (0,11) (1,11)
3 (9,11) (10,10)
0 (4,0) (6,0)
0 null null
1 (13,4) (13,5)
2 (2,15) (2,14)
3 (14,13) (14,14)
0 (5,0) (7,0)
0 null null
1 (13,1) (14,1)
2 (4,13) (3,13)
